Last Modified,URL,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8
2024-03-14,https://www.essex.ac.uk/departments/health-and-social-care/research/public-health-and-social-policy,departments,health-and-social-care,research,public-health-and-social-policy,,,,
2021-09-20,https://www.essex.ac.uk/departments/psychology/research/interacting-with-the-world,departments,psychology,research,interacting-with-the-world,,,,
2022-07-04,https://www.essex.ac.uk/departments/psychology/research/experiencing-the-world,departments,psychology,research,experiencing-the-world,,,,
2022-07-04,https://www.essex.ac.uk/departments/psychology/research/thinking-about-the-world,departments,psychology,research,thinking-about-the-world,,,,
2024-04-30,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/political-and-social-issues,departments,psychosocial-and-psychoanalytic-studies,research,political-and-social-issues,,,,
2024-05-06,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/artificial-intelligence,departments,computer-science-and-electronic-engineering,research,artificial-intelligence,,,,
2024-01-31,https://www.essex.ac.uk/research/essexlab,research,essexlab,,,,,,
2024-09-09,https://www.essex.ac.uk/departments/economics/research/macroeconomics,departments,economics,research,macroeconomics,,,,
2024-09-09,https://www.essex.ac.uk/departments/economics/research/behavioural-experimental-and-development-economics,departments,economics,research,behavioural-experimental-and-development-economics,,,,
2024-09-10,https://www.essex.ac.uk/departments/economics/research/applied-economics,departments,economics,research,applied-economics,,,,
2024-09-18,https://www.essex.ac.uk/centres-and-institutes/human-rights/human-rights-centre-clinic,centres-and-institutes,human-rights,human-rights-centre-clinic,,,,,
2024-09-11,https://www.essex.ac.uk/departments/sport-rehabilitation-and-exercise-sciences/research/professional-practice,departments,sport-rehabilitation-and-exercise-sciences,research,professional-practice,,,,
2024-09-13,https://www.essex.ac.uk/departments/government/research/political-institutions,departments,government,research,political-institutions,,,,
2024-09-04,https://www.essex.ac.uk/departments/psychology/facilities/eepru,departments,psychology,facilities,eepru,,,,
2024-09-11,https://www.essex.ac.uk/departments/economics/research/microeconomics,departments,economics,research,microeconomics,,,,
2024-11-01,https://www.essex.ac.uk/departments/life-sciences/research/plant-productivity-group,departments,life-sciences,research,plant-productivity-group,,,,
2024-10-28,https://www.essex.ac.uk/postgraduate/research/doctoral-training-partnerships/chase,postgraduate,research,doctoral-training-partnerships,chase,,,,
2024-02-28,https://www.essex.ac.uk/centres-and-institutes/work-organisation-and-society/the-future-of-creative-work,centres-and-institutes,work-organisation-and-society,the-future-of-creative-work,,,,,
2024-10-21,https://www.essex.ac.uk/departments/sport-rehabilitation-and-exercise-sciences/research/health-exercise-and-active-lifestyle,departments,sport-rehabilitation-and-exercise-sciences,research,health-exercise-and-active-lifestyle,,,,
2024-10-18,"https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/psychoanalysis,-law-and-social-phenomena",departments,psychosocial-and-psychoanalytic-studies,research,"psychoanalysis,-law-and-social-phenomena",,,,
2024-11-20,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/synchronicity,departments,psychosocial-and-psychoanalytic-studies,research,synchronicity,,,,
2024-11-12,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/brain-computer-interfaces-and-neural-engineering,departments,computer-science-and-electronic-engineering,research,brain-computer-interfaces-and-neural-engineering,,,,
2024-05-31,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/gender,departments,psychosocial-and-psychoanalytic-studies,research,gender,,,,
2024-04-30,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/jungian-theory,departments,psychosocial-and-psychoanalytic-studies,research,jungian-theory,,,,
2024-04-30,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/philosophical-issues-in-psychoanalysis,departments,psychosocial-and-psychoanalytic-studies,research,philosophical-issues-in-psychoanalysis,,,,
2024-04-30,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/psychoanalysis-and-counselling,departments,psychosocial-and-psychoanalytic-studies,research,psychoanalysis-and-counselling,,,,
2024-05-30,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/psychoanalytic-theory,departments,psychosocial-and-psychoanalytic-studies,research,psychoanalytic-theory,,,,
2024-05-30,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/research-methodology,departments,psychosocial-and-psychoanalytic-studies,research,research-methodology,,,,
2024-05-31,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/trauma-and-violence,departments,psychosocial-and-psychoanalytic-studies,research,trauma-and-violence,,,,
2024-11-06,https://www.essex.ac.uk/departments/health-and-social-care/research/neuro-developmental-and-acquired-disorders,departments,health-and-social-care,research,neuro-developmental-and-acquired-disorders,,,,
2024-11-12,https://www.essex.ac.uk/departments/economics/research/econometrics,departments,economics,research,econometrics,,,,
2024-07-16,https://www.essex.ac.uk/departments/health-and-social-care/research/pedagogy-research-for-health-and-social-care,departments,health-and-social-care,research,pedagogy-research-for-health-and-social-care,,,,
2024-05-03,https://www.essex.ac.uk/departments/government/research/c2r-lab,departments,government,research,c2r-lab,,,,
2024-12-03,https://www.essex.ac.uk/departments/mathematics-statistics-and-actuarial-science/research/data-science,departments,mathematics-statistics-and-actuarial-science,research,data-science,,,,
2024-12-05,https://www.essex.ac.uk/postgraduate/research/doctoral-training-partnerships/aries,postgraduate,research,doctoral-training-partnerships,aries,,,,
2025-01-09,https://www.essex.ac.uk/departments/sport-rehabilitation-and-exercise-sciences/research/human-performance,departments,sport-rehabilitation-and-exercise-sciences,research,human-performance,,,,
2025-01-23,https://www.essex.ac.uk/departments/life-sciences/research/ecology-and-environmental-microbiology-group/coral-reef-research-unit,departments,life-sciences,research,ecology-and-environmental-microbiology-group,coral-reef-research-unit,,,
2025-01-23,https://www.essex.ac.uk/departments/government/research/political-economy-political-science-institutions,departments,government,research,political-economy-political-science-institutions,,,,
