last modified,url,level_1,level_1,level_2,level_2,level_3,level_3,level_4,level_4,level_5,level_5,level_6,level_6,level_7,level_7,level_8,level_8
2025-03-03,https://www.essex.ac.uk/departments/literature-film-and-theatre-studies,departments,departments,literature-film-and-theatre-studies,literature-film-and-theatre-studies,,,,,,,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/edge-hotel-school,departments,departments,edge-hotel-school,edge-hotel-school,,,,,,,,,,,,
2025-02-28,https://www.essex.ac.uk/departments/life-sciences,departments,departments,life-sciences,life-sciences,,,,,,,,,,,,
2025-03-14,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering,departments,departments,computer-science-and-electronic-engineering,computer-science-and-electronic-engineering,,,,,,,,,,,,
2025-03-07,https://www.essex.ac.uk/china,china,china,,,,,,,,,,,,,,
2025-03-26,https://www.essex.ac.uk/undergraduate,undergraduate,undergraduate,,,,,,,,,,,,,,
2025-03-26,https://www.essex.ac.uk/life,life,life,,,,,,,,,,,,,,
2024-09-16,https://www.essex.ac.uk/departments/sociology,departments,departments,sociology,sociology,,,,,,,,,,,,
2025-03-03,https://www.essex.ac.uk/departments/essex-pathways,departments,departments,essex-pathways,essex-pathways,,,,,,,,,,,,
2025-04-01,https://www.essex.ac.uk/donate,donate,donate,,,,,,,,,,,,,,
2025-04-02,https://www.essex.ac.uk/apprenticeships,apprenticeships,apprenticeships,,,,,,,,,,,,,,
2025-03-24,https://www.essex.ac.uk/departments/health-and-social-care,departments,departments,health-and-social-care,health-and-social-care,,,,,,,,,,,,
2025-04-10,https://www.essex.ac.uk/study-abroad,study-abroad,study-abroad,,,,,,,,,,,,,,
2025-04-16,https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies,departments,departments,philosophical-historical-and-interdisciplinary-studies,philosophical-historical-and-interdisciplinary-studies,,,,,,,,,,,,
2025-04-15,https://www.essex.ac.uk/graduation,graduation,graduation,,,,,,,,,,,,,,
2025-04-24,https://www.essex.ac.uk/life/accommodation/colchester/the-meadows,life,life,accommodation,accommodation,colchester,colchester,the-meadows,the-meadows,,,,,,,,
2025-04-29,https://www.essex.ac.uk/life/accommodation/colchester/south-courts,life,life,accommodation,accommodation,colchester,colchester,south-courts,south-courts,,,,,,,,
2025-04-16,https://www.essex.ac.uk/scholarships,scholarships,scholarships,,,,,,,,,,,,,,
2024-11-26,https://www.essex.ac.uk/departments/law,departments,departments,law,law,,,,,,,,,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/the-copse,life,life,accommodation,accommodation,colchester,colchester,the-copse,the-copse,,,,,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/south-towers,life,life,accommodation,accommodation,colchester,colchester,south-towers,south-towers,,,,,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/wolfson-court,life,life,accommodation,accommodation,colchester,colchester,wolfson-court,wolfson-court,,,,,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/the-pastures,life,life,accommodation,accommodation,colchester,colchester,the-pastures,the-pastures,,,,,,,,
2025-04-29,https://www.essex.ac.uk/life/accommodation/colchester/north-towers,life,life,accommodation,accommodation,colchester,colchester,north-towers,north-towers,,,,,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/university-quays,life,life,accommodation,accommodation,colchester,colchester,university-quays,university-quays,,,,,,,,
2025-04-30,https://www.essex.ac.uk/life/accommodation/colchester/the-houses,life,life,accommodation,accommodation,colchester,colchester,the-houses,the-houses,,,,,,,,
2025-04-24,https://www.essex.ac.uk/life/accommodation/southend/university-square,life,life,accommodation,accommodation,southend,southend,university-square,university-square,,,,,,,,
2025-05-13,https://www.essex.ac.uk/departments/essex-business-school,departments,departments,essex-business-school,essex-business-school,,,,,,,,,,,,
2025-05-09,https://www.essex.ac.uk/welcome,welcome,welcome,,,,,,,,,,,,,,
2025-05-12,https://www.essex.ac.uk/life/accommodation,life,life,accommodation,accommodation,,,,,,,,,,,,
2025-05-13,https://www.essex.ac.uk/international,international,international,,,,,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/group-and-institutional-dynamics,departments,departments,psychosocial-and-psychoanalytic-studies,psychosocial-and-psychoanalytic-studies,research,research,group-and-institutional-dynamics,group-and-institutional-dynamics,,,,,,,,
2020-03-17,"https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/image,-fantasy-and-memory",departments,departments,psychosocial-and-psychoanalytic-studies,psychosocial-and-psychoanalytic-studies,research,research,"image,-fantasy-and-memory","image,-fantasy-and-memory",,,,,,,,
2023-06-08,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/history-of-psychoanalysis,departments,departments,psychosocial-and-psychoanalytic-studies,psychosocial-and-psychoanalytic-studies,research,research,history-of-psychoanalysis,history-of-psychoanalysis,,,,,,,,
2022-09-13,https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/comparative-psychoanalysis,departments,departments,psychosocial-and-psychoanalytic-studies,psychosocial-and-psychoanalytic-studies,research,research,comparative-psychoanalysis,comparative-psychoanalysis,,,,,,,,
2023-07-24,https://www.essex.ac.uk/about/faculty-of-arts-and-humanities/research/digital-cultural-and-creative-research-network,about,about,faculty-of-arts-and-humanities,faculty-of-arts-and-humanities,research,research,digital-cultural-and-creative-research-network,digital-cultural-and-creative-research-network,,,,,,,,
2023-06-07,https://www.essex.ac.uk/about/faculty-of-arts-and-humanities/research/health-and-medical-humanities,about,about,faculty-of-arts-and-humanities,faculty-of-arts-and-humanities,research,research,health-and-medical-humanities,health-and-medical-humanities,,,,,,,,
2022-07-06,https://www.essex.ac.uk/research/topics/covid19,research,research,topics,topics,covid19,covid19,,,,,,,,,,
2022-12-22,"https://www.essex.ac.uk/departments/language-and-linguistics/research/language-variation,-identity-and-interaction",departments,departments,language-and-linguistics,language-and-linguistics,research,research,"language-variation,-identity-and-interaction","language-variation,-identity-and-interaction",,,,,,,,
2022-12-22,https://www.essex.ac.uk/departments/language-and-linguistics/research/english-language-teaching,departments,departments,language-and-linguistics,language-and-linguistics,research,research,english-language-teaching,english-language-teaching,,,,,,,,
2022-12-22,https://www.essex.ac.uk/departments/essex-business-school/research/bafa-accounting-and-finance-in-emerging-economies-group,departments,departments,essex-business-school,essex-business-school,research,research,bafa-accounting-and-finance-in-emerging-economies-group,bafa-accounting-and-finance-in-emerging-economies-group,,,,,,,,
2023-07-18,https://www.essex.ac.uk/departments/essex-business-school/research/finance-group,departments,departments,essex-business-school,essex-business-school,research,research,finance-group,finance-group,,,,,,,,
2023-06-08,https://www.essex.ac.uk/departments/essex-business-school/research/accounting-group,departments,departments,essex-business-school,essex-business-school,research,research,accounting-group,accounting-group,,,,,,,,
2023-06-08,https://www.essex.ac.uk/departments/essex-business-school/research/strategy-operations-and-entrepreneurship,departments,departments,essex-business-school,essex-business-school,research,research,strategy-operations-and-entrepreneurship,strategy-operations-and-entrepreneurship,,,,,,,,
2023-01-13,https://www.essex.ac.uk/centres-and-institutes/human-rights/research-and-practice/health-human-rights-and-social-justice,centres-and-institutes,centres-and-institutes,human-rights,human-rights,research-and-practice,research-and-practice,health-human-rights-and-social-justice,health-human-rights-and-social-justice,,,,,,,,
2022-06-28,https://www.essex.ac.uk/centres-and-institutes/human-rights/research-and-practice/human-rights-and-the-environment,centres-and-institutes,centres-and-institutes,human-rights,human-rights,research-and-practice,research-and-practice,human-rights-and-the-environment,human-rights-and-the-environment,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/political-networks,centres-and-institutes,centres-and-institutes,social-and-economic-network-analysis,social-and-economic-network-analysis,political-networks,political-networks,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/productivity-innovation-and-input-output-networks,centres-and-institutes,centres-and-institutes,social-and-economic-network-analysis,social-and-economic-network-analysis,productivity-innovation-and-input-output-networks,productivity-innovation-and-input-output-networks,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/learning-from-others,centres-and-institutes,centres-and-institutes,social-and-economic-network-analysis,social-and-economic-network-analysis,learning-from-others,learning-from-others,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/financial-networks-and-contagion,centres-and-institutes,centres-and-institutes,social-and-economic-network-analysis,social-and-economic-network-analysis,financial-networks-and-contagion,financial-networks-and-contagion,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/peer-effects-via-networks,centres-and-institutes,centres-and-institutes,social-and-economic-network-analysis,social-and-economic-network-analysis,peer-effects-via-networks,peer-effects-via-networks,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/bilingualism-matters,centres-and-institutes,centres-and-institutes,language-development-throughout-the-lifespan,language-development-throughout-the-lifespan,bilingualism-matters,bilingualism-matters,,,,,,,,,,
2022-12-22,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/our-research/early-language-development,centres-and-institutes,centres-and-institutes,language-development-throughout-the-lifespan,language-development-throughout-the-lifespan,our-research,our-research,early-language-development,early-language-development,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/our-research/language-decline-attrition-ageing-and-impairments,centres-and-institutes,centres-and-institutes,language-development-throughout-the-lifespan,language-development-throughout-the-lifespan,our-research,our-research,language-decline-attrition-ageing-and-impairments,language-decline-attrition-ageing-and-impairments,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/our-research/second-language-learning-and-teaching,centres-and-institutes,centres-and-institutes,language-development-throughout-the-lifespan,language-development-throughout-the-lifespan,our-research,our-research,second-language-learning-and-teaching,second-language-learning-and-teaching,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/research-in-primary-languages,centres-and-institutes,centres-and-institutes,language-development-throughout-the-lifespan,language-development-throughout-the-lifespan,research-in-primary-languages,research-in-primary-languages,,,,,,,,,,
2022-12-22,https://www.essex.ac.uk/departments/government/research/political-theory-and-discourse,departments,departments,government,government,research,research,political-theory-and-discourse,political-theory-and-discourse,,,,,,,,
2023-10-03,https://www.essex.ac.uk/about/faculty-of-science-and-health/research/ageing-and-assisted-living,about,about,faculty-of-science-and-health,faculty-of-science-and-health,research,research,ageing-and-assisted-living,ageing-and-assisted-living,,,,,,,,
2023-11-10,https://www.essex.ac.uk/departments/essex-business-school/research/organisation-studies-and-human-resource-management-group,departments,departments,essex-business-school,essex-business-school,research,research,organisation-studies-and-human-resource-management-group,organisation-studies-and-human-resource-management-group,,,,,,,,
2023-11-10,https://www.essex.ac.uk/centres-and-institutes/language-development-throughout-the-lifespan/third-age-language-learning,centres-and-institutes,centres-and-institutes,language-development-throughout-the-lifespan,language-development-throughout-the-lifespan,third-age-language-learning,third-age-language-learning,,,,,,,,,,
2023-11-10,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/higher-order-networks-and-network-inference,centres-and-institutes,centres-and-institutes,social-and-economic-network-analysis,social-and-economic-network-analysis,higher-order-networks-and-network-inference,higher-order-networks-and-network-inference,,,,,,,,,,
2023-11-10,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis/network-and-social-identity,centres-and-institutes,centres-and-institutes,social-and-economic-network-analysis,social-and-economic-network-analysis,network-and-social-identity,network-and-social-identity,,,,,,,,,,
2024-01-10,https://www.essex.ac.uk/departments/government/research/political-economy,departments,departments,government,government,research,research,political-economy,political-economy,,,,,,,,
2024-01-09,https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/robotics-and-embedded-systems,departments,departments,computer-science-and-electronic-engineering,computer-science-and-electronic-engineering,research,research,robotics-and-embedded-systems,robotics-and-embedded-systems,,,,,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/law-business-and-technology-id-hub,departments,departments,law,law,research,research,law-business-and-technology-id-hub,law-business-and-technology-id-hub,,,,,,,,
2023-11-28,https://www.essex.ac.uk/departments/law/research/business-law,departments,departments,law,law,research,research,business-law,business-law,,,,,,,,
2023-07-18,https://www.essex.ac.uk/departments/law/research/human-rights,departments,departments,law,law,research,research,human-rights,human-rights,,,,,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/public-law,departments,departments,law,law,research,research,public-law,public-law,,,,,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/socio-legal-studies,departments,departments,law,law,research,research,socio-legal-studies,socio-legal-studies,,,,,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/health-law,departments,departments,law,law,research,research,health-law,health-law,,,,,,,,
2023-07-24,https://www.essex.ac.uk/departments/law/research/law-and-technology,departments,departments,law,law,research,research,law-and-technology,law-and-technology,,,,,,,,
