course_url,course_name,degree_type
https://www.essex.ac.uk/courses/UG01265/1/BSc-Economics-with-Data-Science,Economics With Data Science,BSc
https://www.essex.ac.uk/courses/PR00887/2/MPhil-Computer-Science,Computer Science,MPhil
https://www.essex.ac.uk/courses/UG01034/1/BSc-Data-Science-and-Analytics,Data Science And Analytics,BSc
https://www.essex.ac.uk/courses/UG00066/2/BSc-Computer-Games,Computer Games,BSc
https://www.essex.ac.uk/courses/PG00502/1/MSc-Computer-Networks-and-Security,Computer Networks And Security,MSc
https://www.essex.ac.uk/courses/UG00076/1/BEng-Computer-Systems-Engineering,Computer Systems Engineering,BEng
https://www.essex.ac.uk/courses/PG01380/1/MSc-Financial-Technology-Finance,Financial Technology Finance,MSc
https://www.essex.ac.uk/courses/PR00887/4/PhD-Computer-Science,Computer Science,PhD
https://www.essex.ac.uk/courses/PG01314/1/MSc-Social-Data-Science,Social Data Science,MSc
https://www.essex.ac.uk/courses/UG01336/1/BSc-Sociology-with-Data-Science,Sociology With Data Science,BSc
https://www.essex.ac.uk/courses/PR01632/2/MSc-by-Dissertation-Artificial-Intelligence,By Dissertation Artificial Intelligence,MSc
https://www.essex.ac.uk/courses/UG01499/1/BSc-Artificial-Intelligence,Artificial Intelligence,BSc
https://www.essex.ac.uk/courses/PR00891/2/MPhil-Creative-Writing,Creative Writing,MPhil
https://www.essex.ac.uk/courses/PR01000/1/PhD-Theatre-Studies-Playwriting,Theatre Studies Playwriting,PhD
https://www.essex.ac.uk/courses/PG00845/1/MA-Wild-Writing-Literature-Landscape-and-the-Environment,Wild Writing Literature Landscape And The Environment,MA
https://www.essex.ac.uk/courses/PG01373/1/MA-Literature-and-Creative-Writing,Literature And Creative Writing,MA
https://www.essex.ac.uk/courses/PG01301/1/MA-Theatre-Practice,Theatre Practice,MA
https://www.essex.ac.uk/courses/UG00088/1/BA-Creative-Writing,Creative Writing,BA
https://www.essex.ac.uk/courses/UG01055/3/Integrated-Master-in-Literature-Literature-and-Creative-Writing,Master In Literature Literature And Creative Writing,Integrated
https://www.essex.ac.uk/courses/UG01055/1/BA-Literature-and-Creative-Writing,Literature And Creative Writing,BA
https://www.essex.ac.uk/courses/PR00891/1/PhD-Creative-Writing,Creative Writing,PhD
https://www.essex.ac.uk/courses/PR00891/4/MA-by-Dissertation-Creative-Writing,By Dissertation Creative Writing,MA
https://www.essex.ac.uk/courses/UG00162/1/BA-Film-and-Creative-Writing,Film And Creative Writing,BA
https://www.essex.ac.uk/courses/PG00519/1/MA-Creative-Writing,Creative Writing,MA
https://www.essex.ac.uk/courses/PG00722/1/MA-Scriptwriting-Theatre-and-Digital-Media,Scriptwriting Theatre And Digital Media,MA
